"post_id"	"conversation_id"	"disease_id"	"author"	"num_stars"	"timestamp"	"in_reply_to"	"is_primary_question"	"num_replies"
"HIF2016_DIS02_CONV19_POST338"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"dheekshu"	"0"	"1446678000000"	""	"true"	"12"
"HIF2016_DIS02_CONV19_POST339"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"zouzi"	"1"	"1446678000000"	"dheekshu"	"false"	"0"
"HIF2016_DIS02_CONV19_POST340"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"zouzi"	"1"	"1446678000000"	"dheekshu"	"false"	"0"
"HIF2016_DIS02_CONV19_POST341"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"dheekshu"	"0"	"1446764400000"	""	"false"	"0"
"HIF2016_DIS02_CONV19_POST342"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"dheekshu"	"0"	"1446764400000"	""	"false"	"0"
"HIF2016_DIS02_CONV19_POST343"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"zouzi"	"1"	"1446764400000"	"dheekshu"	"false"	"0"
"HIF2016_DIS02_CONV19_POST344"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"dheekshu"	"0"	"1448665200000"	""	"false"	"0"
"HIF2016_DIS02_CONV19_POST345"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"japdip"	"5"	"1448665200000"	"dheekshu"	"false"	"0"
"HIF2016_DIS02_CONV19_POST346"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"dheekshu"	"0"	"1448665200000"	""	"false"	"0"
"HIF2016_DIS02_CONV19_POST347"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"japdip"	"5"	"1448665200000"	"dheekshu"	"false"	"0"
"HIF2016_DIS02_CONV19_POST348"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"dheekshu"	"0"	"1449183600000"	""	"false"	"0"
"HIF2016_DIS02_CONV19_POST349"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"zouzi"	"1"	"1449183600000"	"dheekshu"	"false"	"0"
"HIF2016_DIS02_CONV19_POST350"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"dheekshu"	"0"	"1449183600000"	""	"false"	"0"
"HIF2016_DIS02_CONV19_POST351"	"HIF2016_DIS02_CONV19"	"HIF2016_DIS02"	"zouzi"	"1"	"1449183600000"	"dheekshu"	"false"	"0"
"HIF2016_DIS02_CONV20_POST352"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1443045600000"	""	"true"	"30"
"HIF2016_DIS02_CONV20_POST353"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"zouzi"	"1"	"1443132000000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST354"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1443132000000"	""	"false"	"0"
"HIF2016_DIS02_CONV20_POST355"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1444168800000"	""	"false"	"0"
"HIF2016_DIS02_CONV20_POST356"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"zouzi"	"1"	"1444168800000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST357"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"MH Community Mgr"	"0"	"1444168800000"	"rumpled and zouzi"	"false"	"0"
"HIF2016_DIS02_CONV20_POST358"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"mhv"	"1"	"1444168800000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST359"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"zouzi"	"1"	"1444255200000"	"Cheryl"	"false"	"0"
"HIF2016_DIS02_CONV20_POST360"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1444341600000"	""	"false"	"0"
"HIF2016_DIS02_CONV20_POST361"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"zouzi"	"1"	"1444341600000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST362"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1444428000000"	""	"false"	"0"
"HIF2016_DIS02_CONV20_POST363"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1444773600000"	""	"false"	"0"
"HIF2016_DIS02_CONV20_POST364"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"zouzi"	"1"	"1444773600000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST365"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"mhv"	"1"	"1444860000000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST366"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1445032800000"	""	"false"	"0"
"HIF2016_DIS02_CONV20_POST367"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"bluebutterfly2222"	"3"	"1445032800000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST368"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"mhv"	"1"	"1445292000000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST369"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1446937200000"	""	"false"	"0"
"HIF2016_DIS02_CONV20_POST370"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"zouzi"	"1"	"1446937200000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST371"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"mhv"	"1"	"1447110000000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST372"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1447196400000"	""	"false"	"0"
"HIF2016_DIS02_CONV20_POST373"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"zouzi"	"1"	"1447282800000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST374"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1449183600000"	""	"false"	"0"
"HIF2016_DIS02_CONV20_POST375"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"zouzi"	"1"	"1449183600000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST376"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1449356400000"	""	"false"	"0"
"HIF2016_DIS02_CONV20_POST377"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"SumitaSofat"	"0"	"1449615600000"	""	"false"	"0"
"HIF2016_DIS02_CONV20_POST378"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"bluebutterfly2222"	"3"	"1449702000000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST379"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1449874800000"	"bluebutterfly2222"	"false"	"0"
"HIF2016_DIS02_CONV20_POST380"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"bluebutterfly2222"	"3"	"1449874800000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV20_POST381"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"rumpled"	"0"	"1452466800000"	""	"false"	"0"
"HIF2016_DIS02_CONV20_POST382"	"HIF2016_DIS02_CONV20"	"HIF2016_DIS02"	"zouzi"	"1"	"1452466800000"	"rumpled"	"false"	"0"
"HIF2016_DIS02_CONV21_POST383"	"HIF2016_DIS02_CONV21"	"HIF2016_DIS02"	"flowersrpretty95"	"0"	"1448838000000"	""	"true"	"15"
